Time,State,Name,,,
2019/10/11 4:50,0,2_12_88_126_576,2019/10/11 4:50,0,0
2019/10/11 4:51,0,2_12_88_126_576,2019/10/11 4:51,0,0
2019/10/11 4:52,0,2_12_88_126_576,2019/10/11 4:52,0,0
2019/10/11 4:53,0,2_12_88_126_576,2019/10/11 4:53,0,0
2019/10/11 4:54,0,2_12_88_126_576,2019/10/11 4:54,0,0
2019/10/11 4:55,0,2_12_88_126_576,2019/10/11 4:55,0,0
2019/10/11 4:56,0,2_12_88_126_576,2019/10/11 4:56,0,0
2019/10/11 4:57,0,2_12_88_126_576,2019/10/11 4:57,0,0
2019/10/11 4:58,0,2_12_88_126_576,2019/10/11 4:58,0,0
2019/10/11 4:59,0,2_12_88_126_576,2019/10/11 4:59,0,0
2019/10/11 5:00,0,2_12_88_126_576,2019/10/11 5:00,0,0
2019/10/11 5:01,0,2_12_88_126_576,2019/10/11 5:01,0,0
2019/10/11 5:02,0,2_12_88_126_576,2019/10/11 5:02,0,0
2019/10/11 5:03,0,2_12_88_126_576,2019/10/11 5:03,0,0
2019/10/11 5:04,0,2_12_88_126_576,2019/10/11 5:04,0,0
2019/10/11 5:05,0,2_12_88_126_576,2019/10/11 5:05,0,0
2019/10/11 5:06,0,2_12_88_126_576,2019/10/11 5:06,0,0
2019/10/11 5:07,0,2_12_88_126_576,2019/10/11 5:07,0,0
2019/10/11 5:08,0,2_12_88_126_576,2019/10/11 5:08,0,0
2019/10/11 5:09,0,2_12_88_126_576,2019/10/11 5:09,0,0
2019/10/11 5:10,0,2_12_88_126_576,2019/10/11 5:10,0,0
2019/10/11 5:11,0,2_12_88_126_576,2019/10/11 5:11,0,0
2019/10/11 5:12,0,2_12_88_126_576,2019/10/11 5:12,0,0
2019/10/11 5:13,0,2_12_88_126_576,2019/10/11 5:13,0,0
2019/10/11 5:14,0,2_12_88_126_576,2019/10/11 5:14,0,0
2019/10/11 5:15,0,2_12_88_126_591,2019/10/11 5:15,0,0
2019/10/11 5:16,0,2_12_88_126_591,2019/10/11 5:16,0,0
2019/10/11 5:17,0,2_12_88_126_591,2019/10/11 5:17,0,0
2019/10/11 5:18,0,2_12_88_126_591,2019/10/11 5:18,0,0
2019/10/11 5:19,0,2_12_88_126_591,2019/10/11 5:19,0,0
2019/10/11 5:20,0,2_12_88_126_591,2019/10/11 5:20,0,0
2019/10/11 5:21,0,2_12_88_126_591,2019/10/11 5:21,0,0
2019/10/11 5:22,0,2_12_88_126_591,2019/10/11 5:22,0,0
2019/10/11 5:23,0,2_12_88_126_591,2019/10/11 5:23,0,0
2019/10/11 5:24,0,2_12_88_126_591,2019/10/11 5:24,0,0
2019/10/11 5:25,2,2_12_88_126_584,2019/10/11 5:25,2,2
2019/10/11 5:26,2,2_12_88_126_584,2019/10/11 5:26,2,2
2019/10/11 5:27,2,2_12_88_126_584,2019/10/11 5:27,2,2
2019/10/11 5:28,2,2_12_88_126_584,2019/10/11 5:28,2,2
2019/10/11 5:29,2,2_12_88_126_584,2019/10/11 5:29,2,2
2019/10/11 5:30,2,2_12_90_128_514,2019/10/11 5:30,2,2
2019/10/11 5:31,2,2_12_90_128_514,2019/10/11 5:31,2,2
2019/10/11 5:32,2,2_12_90_128_514,2019/10/11 5:32,2,2
2019/10/11 5:33,2,2_12_90_128_514,2019/10/11 5:33,2,2
2019/10/11 5:34,2,2_12_90_128_514,2019/10/11 5:34,2,2
2019/10/11 5:35,2,2_12_90_128_514,2019/10/11 5:35,2,2
2019/10/11 5:36,2,2_12_90_128_514,2019/10/11 5:36,2,2
2019/10/11 5:37,2,2_12_90_128_514,2019/10/11 5:37,2,2
2019/10/11 5:38,2,2_12_90_128_514,2019/10/11 5:38,2,2
2019/10/11 5:39,2,2_12_90_128_514,2019/10/11 5:39,2,2
2019/10/11 5:40,2,2_12_90_128_514,2019/10/11 5:40,2,2
2019/10/11 5:41,2,2_12_90_128_514,2019/10/11 5:41,2,2
2019/10/11 5:42,2,2_12_90_128_514,2019/10/11 5:42,2,2
2019/10/11 5:43,2,2_12_90_128_514,2019/10/11 5:43,2,2
2019/10/11 5:44,2,2_12_90_126_514,2019/10/11 5:44,2,2
2019/10/11 5:45,0,2_10_78_100_171,2019/10/11 5:45,0,0
2019/10/11 5:46,0,2_10_78_100_171,2019/10/11 5:46,0,0
2019/10/11 5:47,0,2_10_78_100_171,2019/10/11 5:47,0,0
2019/10/11 5:48,0,2_10_78_100_171,2019/10/11 5:48,0,0
2019/10/11 5:49,0,2_10_78_100_171,2019/10/11 5:49,0,0
2019/10/11 5:50,0,2_10_78_100_171,2019/10/11 5:50,0,0
2019/10/11 5:51,0,2_10_78_100_171,2019/10/11 5:51,0,0
2019/10/11 5:52,0,2_10_78_100_171,2019/10/11 5:52,0,0
2019/10/11 5:53,0,2_10_78_100_171,2019/10/11 5:53,0,0
2019/10/11 5:54,0,2_10_78_100_171,2019/10/11 5:54,0,0
2019/10/11 5:55,0,2_12_90_126_523,2019/10/11 5:55,0,0
2019/10/11 5:56,0,2_12_90_126_523,2019/10/11 5:56,0,0
2019/10/11 5:57,0,2_12_90_126_523,2019/10/11 5:57,0,0
2019/10/11 5:58,0,2_12_90_126_523,2019/10/11 5:58,0,0
2019/10/11 5:59,0,2_12_90_128_523,2019/10/11 5:59,0,0
2019/10/11 6:00,0,2_12_90_128_523,2019/10/11 6:00,0,0
2019/10/11 6:01,0,2_12_90_128_523,2019/10/11 6:01,0,0
2019/10/11 6:02,0,2_12_90_128_523,2019/10/11 6:02,0,0
2019/10/11 6:03,0,2_12_90_128_523,2019/10/11 6:03,0,0
2019/10/11 6:04,0,2_12_90_126_523,2019/10/11 6:04,0,0
2019/10/11 6:05,0,2_10_78_100_161,2019/10/11 6:05,0,0
2019/10/11 6:06,0,2_10_78_100_161,2019/10/11 6:06,0,0
2019/10/11 6:07,0,2_10_78_100_161,2019/10/11 6:07,0,0
2019/10/11 6:08,0,2_10_78_100_161,2019/10/11 6:08,0,0
2019/10/11 6:09,0,2_10_78_100_161,2019/10/11 6:09,0,0
2019/10/11 6:10,0,2_12_90_126_523,2019/10/11 6:10,0,0
2019/10/11 6:11,0,2_12_90_126_523,2019/10/11 6:11,0,0
2019/10/11 6:12,0,2_12_90_126_523,2019/10/11 6:12,0,0
2019/10/11 6:13,0,2_12_90_126_523,2019/10/11 6:13,0,0
